brand,model,model_year,engine_volume,engine_type,transmission,fuel_type,ext_col,mileage in miles,damage,price_usd
Subaru,limited_model,2020,2.5,4Cyl,automatic,Gasoline,black,32744,None reported,24000
Porsche,Panamera 2,2012,3.6,V6,automatic,Gasoline,white,54000,Damage reported,26000
Toyota,Tacoma PreRunner,2008,4.0,V6,automatic,Gasoline,silver,202055,Damage reported,8500
RAM,2500 Laramie,2019,6.7,I6,6-speed auto,Diesel,black,65000,None reported,65000
Kia,Sportage Nightfall,2022,2.4,4Cyl,6-speed auto,Gasoline,red,9686,None reported,30990
Cadillac,limited_model,2010,4.6,V8,automatic,Gasoline,white,49620,None reported,10499
Toyota,Land Cruiser Base,1997,4.5,I6,automatic,Gasoline,white,213000,None reported,26500
Nissan,GT-R Premium,2020,3.8,V6,automatic,Gasoline,white,16010,None reported,114000
Lexus,limited_model,2023,2.4,,8-speed auto,Gasoline,black,820,None reported,51998
Audi,limited_model,2021,2.0,4Cyl,8-speed auto,Gasoline,blue,68000,None reported,36499
Lexus,limited_model,1999,4.7,V8,automatic,Gasoline,white,82000,None reported,25000
GMC,Terrain SLE,2022,1.5,4Cyl,9-speed auto,Gasoline,white,27352,None reported,27785
Ford,limited_model,2012,2.5,4Cyl,automatic,Gasoline,white,129000,Damage reported,7000
Lexus,LS 460 L,2014,4.6,V8,8-speed auto,Gasoline,white,106731,Damage reported,30000
Ford,Expedition Platinum,2019,3.5,V6,10-speed auto,Gasoline,white,34672,None reported,45500
Chevrolet,limited_model,2010,3.6,V6,automatic,Gasoline,N/A,55900,None reported,8950
Audi,limited_model,2023,4.0,V8,automatic,Gasoline,grey,3158,None reported,128900
Audi,A5 2.0T Premium Plus,2015,2.0,4Cyl,8-speed auto,Gasoline,white,82000,None reported,17000
Other,G70 2.0T,2023,2.0,4Cyl,automatic,Gasoline,black,4785,None reported,42850
Chevrolet,Trailblazer LS,2021,1.3,3Cyl,9-speed auto,Gasoline,blue,20497,None reported,22999
Other,limited_model,2013,2.5,4Cyl,6-speed auto,Gasoline,silver,177600,Damage reported,7100
